#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B9C353
#Date Time: 2025-04-28 16:26:41.791
#Sample rate: 1600Hz
#Samples: 8192
#Channel 1: Range: 5 V/div Offset: 0 V Sample Mode: Average

Time (s),Channel 1 (V)
0.01714247311827957,-7.482170507079331
0.01776747311827957,-7.588790319279854
0.01839247311827957,-7.658644678997439
0.01901747311827957,-7.625555771762794
0.01964247311827957,-7.662321224245733
0.02026747311827957,-7.647615043252557
0.02089247311827957,-7.75423485545308
0.02151747311827957,-7.768941036446256
0.02214247311827957,-7.779970672191137
0.02276747311827957,-7.809383034177489
0.02339247311827957,-7.805706488929195
0.02401747311827957,-7.860854667653603
0.02464247311827957,-7.94173866311607
0.02526747311827957,-8.026299203826829
0.02589247311827957,-8.077770837302944
0.02651747311827957,-8.114536289785883
0.02714247311827957,-8.12924247077906
0.02776747311827957,-8.074094292054651
0.02839247311827957,-8.17703755900688
0.02901747311827957,-8.228509192482994
0.02964247311827957,-8.125565925530765
0.03026747311827957,-8.118212835034177
0.03089247311827957,-8.19542028524835
0.03151747311827957,-8.239538828227877
0.03214247311827957,-8.210126466241524
0.03276747311827957,-8.24321537347617
0.03339247311827957,-8.364541366669869
0.03401747311827957,-8.360864821421575
0.03464247311827957,-8.357188276173281
0.03526747311827957,-8.441748816884042
0.03589247311827957,-8.51527972184992
0.03651747311827957,-8.51527972184992
0.03714247311827957,-8.541015538587976
0.03776747311827957,-8.548368629084564
0.03839247311827957,-8.489543905111862
0.03901747311827957,-8.500573540856744
0.03964247311827957,-8.544692083836271
0.04026747311827957,-8.599840262560679
0.04089247311827957,-8.555721719581152
0.04151747311827957,-8.603516807808973
0.04214247311827957,-8.62925262454703
0.04276747311827957,-8.669694622278262
0.04339247311827957,-8.662341531781676
0.04401747311827957,-8.632929169795323
0.04464247311827957,-8.688077348519732
0.04526747311827957,-8.772637889230493
0.04589247311827957,-8.791020615471963
0.04651747311827957,-8.76160825348561
0.04714247311827957,-8.802050251216844
0.04776747311827957,-8.809403341713432
0.04839247311827957,-8.76160825348561
0.04901747311827957,-8.802050251216844
0.04964247311827957,-8.824109522706607
0.05026747311827957,-8.835139158451488
0.05089247311827957,-8.798373705968549
0.05151747311827957,-8.791020615471963
0.05214247311827957,-8.857198429941253
0.05276747311827957,-8.88293424667931
0.05339247311827957,-8.897640427672485
0.05401747311827957,-8.923376244410543
0.05464247311827957,-8.952788606396894
0.05526747311827957,-8.927052789658836
0.05589247311827957,-8.96749478739007
0.05651747311827957,-9.03367260185936
